time/total timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
564000,104,11280,50.0,5372,-65.50584176,0.0001,10.069249665737152,559800,25.29938549041748
564500,104,11290,50.0,5378,-65.94052933,0.0001,10.083255999088287,560400,25.371223468780517
565000,104,11300,50.0,5382,-65.75844741,0.0001,10.10214854001999,560800,25.302970981597902
565500,104,11310,50.0,5390,-66.75052842999999,0.0001,10.146880495548249,561400,25.354444999694824
566000,104,11320,50.0,5395,-65.56894961,0.0001,10.291287236213684,561800,25.341031436920165
566500,104,11330,50.0,5400,-64.83568094,0.0001,10.031890223026275,562400,25.194502773284913
567000,104,11340,50.0,5404,-65.12510003999999,0.0001,10.268734362125397,562800,25.410448684692383
567500,104,11350,50.0,5410,-64.2683449,0.0001,10.05407520532608,563400,25.266699256896974
568000,104,11360,50.0,5414,-65.64929925,0.0001,10.278829684257508,563800,25.27802453994751
568500,104,11370,50.0,5420,-69.13243357000002,0.0001,10.23354679107666,564400,25.262337284088133
569000,104,11380,50.0,5424,-67.2842473,0.0001,10.312851567268371,564800,25.313820972442628
569500,104,11390,50.0,5430,-67.90968090999999,0.0001,10.301655530929565,565400,25.28058006286621
570000,104,11400,50.0,5435,-66.28286748999999,0.0001,10.215647184848786,565800,25.136697235107423
570500,104,11410,50.0,5442,-64.79185312999999,0.0001,10.416615433692932,566400,25.250433082580567
571000,104,11420,50.0,5446,-63.31441719,0.0001,10.056536252498626,566800,25.17692823410034
571500,104,11430,50.0,5452,-66.77981301,0.0001,10.245534110069276,567400,25.19922971725464
572000,104,11440,50.0,5456,-65.58209332999999,0.0001,10.172644045352936,567800,25.244700717926026
572500,104,11450,50.0,5462,-68.21298938999999,0.0001,10.2746888589859,568400,25.17740852355957
573000,104,11460,50.0,5466,-68.89816225999999,0.0001,10.26164256811142,568800,25.16805021286011
573500,104,11470,50.0,5472,-66.21182433999999,0.0001,10.312984511852264,569400,25.162840251922606
574000,104,11480,50.0,5477,-67.23789574999999,0.0001,10.33127022266388,569800,25.22888988494873
574500,104,11490,50.0,5484,-65.63527402999999,0.0001,10.313486893177032,570400,25.227312831878663
575000,104,11500,50.0,5490,-65.92202235999999,0.0001,10.078688690662384,570800,25.147289810180663
575500,104,11510,50.0,5496,-65.28467197,0.0001,10.383952100276947,571400,25.213757038116455
576000,104,11520,50.0,5501,-64.54074617,0.0001,10.34178879737854,571800,25.25311569213867
576500,104,11530,50.0,5506,-62.34001914,0.0001,10.143590564727782,572400,25.209282360076905
577000,104,11540,50.0,5510,-62.256390319999994,0.0001,10.038148963451386,572800,25.165400524139404
577500,104,11550,50.0,5516,-60.19264681,0.0001,10.386765220165252,573400,25.284424152374267
